Timestamp,Origin,Destination,DistanceMiles,DurationHours,Weather,Temperature,SourceAPI
2025-05-02T05:08:49.998018,"Harrisburg, PA","Nashville, TN",719.63,10.66,18.36,Clouds,Google
2025-05-02T05:08:52.062948,"Harrisburg, PA","Nashville, TN",718.66,12.0,18.21,Mist,ORS
2025-05-02T05:08:53.165722,"Harrisburg, PA","Nashville, TN",718.03,11.1,18.36,Clouds,HERE
2025-05-02T05:08:54.698777,"Harrisburg, PA","Nashville, TN",719.14,10.71,18.36,Clouds,GraphHopper
2025-05-02T05:08:55.789374,"Harrisburg, PA","Nashville, TN",719.38,11.05,18.36,Clouds,Mapbox
2025-05-02T05:08:59.908878,"Harrisburg, PA","Salt Lake City, UT",2039.74,29.98,18.36,Clouds,Google
2025-05-02T05:09:01.965008,"Harrisburg, PA","Salt Lake City, UT",2039.62,32.41,18.36,Clouds,ORS
2025-05-02T05:09:03.149367,"Harrisburg, PA","Salt Lake City, UT",2042.68,29.78,18.21,Mist,HERE
2025-05-02T05:09:04.665024,"Harrisburg, PA","Salt Lake City, UT",2037.94,29.1,18.36,Clouds,GraphHopper
2025-05-02T05:09:05.749764,"Harrisburg, PA","Salt Lake City, UT",2042.16,31.09,18.21,Mist,Mapbox
2025-05-02T05:09:10.028480,"Harrisburg, PA","Denver, CO",1624.97,23.96,18.21,Mist,Google
2025-05-02T05:09:12.068598,"Harrisburg, PA","Denver, CO",1643.95,26.7,18.21,Mist,ORS
2025-05-02T05:09:13.245893,"Harrisburg, PA","Denver, CO",1628.5,24.17,18.21,Mist,HERE
2025-05-02T05:09:14.696594,"Harrisburg, PA","Denver, CO",1625.45,23.89,18.21,Mist,GraphHopper
2025-05-02T05:09:16.035849,"Harrisburg, PA","Denver, CO",1626.82,24.67,18.21,Mist,Mapbox
2025-05-02T05:09:18.702022,"Harrisburg, PA","New York City, NY",169.41,2.87,18.21,Mist,Google
2025-05-02T05:09:20.358156,"Harrisburg, PA","New York City, NY",170.92,3.41,18.21,Mist,ORS
2025-05-02T05:09:21.444456,"Harrisburg, PA","New York City, NY",172.24,2.99,18.21,Mist,HERE
2025-05-02T05:09:22.776341,"Harrisburg, PA","New York City, NY",171.16,2.92,18.21,Mist,GraphHopper
2025-05-02T05:09:23.855334,"Harrisburg, PA","New York City, NY",171.06,3.09,18.21,Mist,Mapbox
2025-05-02T05:09:27.345015,"Harrisburg, PA","Cincinnati, OH",471.19,7.29,18.21,Mist,Google
2025-05-02T05:09:29.252973,"Harrisburg, PA","Cincinnati, OH",471.49,8.58,18.21,Mist,ORS
2025-05-02T05:09:30.381746,"Harrisburg, PA","Cincinnati, OH",480.15,7.61,18.21,Mist,HERE
2025-05-02T05:09:31.793436,"Harrisburg, PA","Cincinnati, OH",471.77,7.36,18.21,Mist,GraphHopper
2025-05-02T05:09:32.874029,"Harrisburg, PA","Cincinnati, OH",472.03,7.55,18.21,Mist,Mapbox
2025-05-02T05:09:37.094620,"Harrisburg, PA","Seattle, WA",2698.86,39.84,18.21,Mist,Google
2025-05-02T05:09:39.263247,"Harrisburg, PA","Seattle, WA",2719.36,43.4,18.36,Clouds,ORS
2025-05-02T05:09:40.476533,"Harrisburg, PA","Seattle, WA",2728.03,41.2,18.36,Clouds,HERE
2025-05-02T05:09:42.069804,"Harrisburg, PA","Seattle, WA",2720.11,39.2,18.21,Mist,GraphHopper
2025-05-02T05:09:43.151725,"Harrisburg, PA","Seattle, WA",2722.45,41.52,18.21,Mist,Mapbox
2025-05-02T05:09:46.668400,"Harrisburg, PA","Orlando, FL",957.6,14.01,18.21,Mist,Google
2025-05-02T05:09:48.555954,"Harrisburg, PA","Orlando, FL",962.59,16.63,18.21,Mist,ORS
2025-05-02T05:09:49.685776,"Harrisburg, PA","Orlando, FL",958.67,15.0,18.21,Mist,HERE
2025-05-02T05:09:51.131764,"Harrisburg, PA","Orlando, FL",961.15,14.65,18.21,Mist,GraphHopper
2025-05-02T05:09:52.212822,"Harrisburg, PA","Orlando, FL",962.38,14.91,18.21,Mist,Mapbox
2025-05-02T05:09:55.118197,"Harrisburg, PA","Washington, DC",119.67,2.21,18.21,Mist,Google
2025-05-02T05:09:56.709022,"Harrisburg, PA","Washington, DC",122.66,2.7,18.21,Mist,ORS
2025-05-02T05:09:57.779883,"Harrisburg, PA","Washington, DC",129.51,2.39,18.21,Mist,HERE
2025-05-02T05:09:59.127829,"Harrisburg, PA","Washington, DC",119.42,2.25,18.21,Mist,GraphHopper
2025-05-02T05:10:00.471331,"Harrisburg, PA","Washington, DC",117.74,2.47,18.21,Mist,Mapbox
2025-05-02T05:10:03.795531,"Harrisburg, PA","Detroit, MI",483.2,7.29,18.21,Mist,Google
2025-05-02T05:10:05.627445,"Harrisburg, PA","Detroit, MI",481.81,8.22,18.21,Mist,ORS
2025-05-02T05:10:06.728031,"Harrisburg, PA","Detroit, MI",482.84,7.28,18.21,Mist,HERE
2025-05-02T05:10:08.177290,"Harrisburg, PA","Detroit, MI",481.88,7.24,18.21,Mist,GraphHopper
2025-05-02T05:10:09.271960,"Harrisburg, PA","Detroit, MI",482.66,7.53,18.21,Mist,Mapbox
2025-05-02T05:10:12.977772,"Harrisburg, PA","Houston, TX",1462.22,21.36,18.21,Mist,Google
2025-05-02T05:10:14.845685,"Harrisburg, PA","Houston, TX",1462.95,24.35,18.36,Clouds,ORS
2025-05-02T05:10:16.001519,"Harrisburg, PA","Houston, TX",1462.17,22.24,18.21,Mist,HERE
2025-05-02T05:10:17.452240,"Harrisburg, PA","Houston, TX",1463.33,21.71,18.21,Mist,GraphHopper
2025-05-02T05:10:18.537443,"Harrisburg, PA","Houston, TX",1464.61,22.09,18.36,Clouds,Mapbox
2025-05-02T05:10:22.381843,"Harrisburg, PA","Miami, FL",1168.82,16.97,18.21,Mist,Google
2025-05-02T05:10:24.133623,"Harrisburg, PA","Miami, FL",1166.48,20.08,18.36,Clouds,ORS
2025-05-02T05:10:25.267337,"Harrisburg, PA","Miami, FL",1163.07,18.27,18.21,Mist,HERE
2025-05-02T05:10:26.800270,"Harrisburg, PA","Miami, FL",1165.86,17.66,18.21,Mist,GraphHopper
2025-05-02T05:10:27.873941,"Harrisburg, PA","Miami, FL",1167.1,18.02,18.21,Mist,Mapbox
2025-05-02T05:10:30.725471,"Harrisburg, PA","Baltimore, MD",79.41,1.34,18.21,Mist,Google
2025-05-02T05:10:32.340084,"Harrisburg, PA","Baltimore, MD",78.61,1.73,18.21,Mist,ORS
2025-05-02T05:10:33.406625,"Harrisburg, PA","Baltimore, MD",78.78,1.44,18.21,Mist,HERE
2025-05-02T05:10:34.748977,"Harrisburg, PA","Baltimore, MD",78.68,1.41,18.21,Mist,GraphHopper
2025-05-02T05:10:35.819498,"Harrisburg, PA","Baltimore, MD",78.85,1.41,18.21,Mist,Mapbox
2025-05-02T05:10:38.811755,"Harrisburg, PA","Pittsburgh, PA",203.19,3.26,18.21,Mist,Google
2025-05-02T05:10:40.989105,"Harrisburg, PA","Pittsburgh, PA",202.54,3.81,18.21,Mist,ORS
2025-05-02T05:10:42.057173,"Harrisburg, PA","Pittsburgh, PA",203.7,3.29,18.21,Mist,HERE
2025-05-02T05:10:43.389118,"Harrisburg, PA","Pittsburgh, PA",203.17,3.21,18.21,Mist,GraphHopper
2025-05-02T05:10:44.465768,"Harrisburg, PA","Pittsburgh, PA",203.25,3.43,18.21,Mist,Mapbox
2025-05-02T05:10:48.420540,"Harrisburg, PA","Las Vegas, NV",2372.33,34.6,18.21,Mist,Google
2025-05-02T05:10:50.594698,"Harrisburg, PA","Las Vegas, NV",2388.09,37.95,18.21,Mist,ORS
2025-05-02T05:10:51.800691,"Harrisburg, PA","Las Vegas, NV",2374.84,34.42,18.21,Mist,HERE
2025-05-02T05:10:53.371702,"Harrisburg, PA","Las Vegas, NV",2389.3,34.18,18.21,Mist,GraphHopper
2025-05-02T05:10:54.453433,"Harrisburg, PA","Las Vegas, NV",2375.18,35.94,18.21,Mist,Mapbox
2025-05-02T05:10:57.897401,"Harrisburg, PA","Chicago, IL",657.96,9.97,18.21,Mist,Google
2025-05-02T05:10:59.661313,"Harrisburg, PA","Chicago, IL",655.99,11.21,18.36,Clouds,ORS
2025-05-02T05:11:00.765930,"Harrisburg, PA","Chicago, IL",659.06,10.15,18.36,Clouds,HERE
2025-05-02T05:11:02.304427,"Harrisburg, PA","Chicago, IL",656.85,9.86,18.21,Mist,GraphHopper
2025-05-02T05:11:03.377731,"Harrisburg, PA","Chicago, IL",658.32,10.25,18.21,Mist,Mapbox
2025-05-02T05:11:06.441466,"Harrisburg, PA","Boston, MA",382.45,6.2,18.21,Mist,Google
2025-05-02T05:11:08.257518,"Harrisburg, PA","Boston, MA",413.05,7.76,18.21,Mist,ORS
2025-05-02T05:11:09.343795,"Harrisburg, PA","Boston, MA",395.26,6.72,18.21,Mist,HERE
2025-05-02T05:11:10.759584,"Harrisburg, PA","Boston, MA",381.24,6.44,18.21,Mist,GraphHopper
2025-05-02T05:11:11.834156,"Harrisburg, PA","Boston, MA",393.78,6.84,18.21,Mist,Mapbox
2025-05-02T05:11:16.271405,"Harrisburg, PA","Boise, ID",2336.97,34.17,18.21,Mist,Google
2025-05-02T05:11:18.358400,"Harrisburg, PA","Boise, ID",2335.32,36.6,18.21,Mist,ORS
2025-05-02T05:11:19.534821,"Harrisburg, PA","Boise, ID",2338.26,33.9,18.21,Mist,HERE
2025-05-02T05:11:21.042851,"Harrisburg, PA","Boise, ID",2335.44,33.09,18.21,Mist,GraphHopper
2025-05-02T05:11:22.440564,"Harrisburg, PA","Boise, ID",2337.63,35.39,18.21,Mist,Mapbox
2025-05-02T05:11:25.702913,"Harrisburg, PA","Portland, ME",482.09,7.62,18.21,Mist,Google
2025-05-02T05:11:27.562849,"Harrisburg, PA","Portland, ME",514.59,9.54,18.21,Mist,ORS
2025-05-02T05:11:28.663120,"Harrisburg, PA","Portland, ME",495.03,8.19,18.21,Mist,HERE
2025-05-02T05:11:30.337360,"Harrisburg, PA","Portland, ME",480.25,7.96,18.21,Mist,GraphHopper
2025-05-02T05:11:31.410846,"Harrisburg, PA","Portland, ME",492.89,8.31,18.21,Mist,Mapbox
2025-05-02T05:11:36.860696,"Harrisburg, PA","Portland, OR",2763.67,40.55,18.21,Mist,Google
2025-05-02T05:11:38.971194,"Harrisburg, PA","Portland, OR",2760.86,43.51,18.21,Mist,ORS
2025-05-02T05:11:40.159849,"Harrisburg, PA","Portland, OR",2765.06,40.99,18.21,Mist,HERE
